participantID,nSeq,preValue,walkValue
01-9TZK,38,23.9093188004187,981.685144617728
02-9TZO,38,22.4915461105036,973.013816321927
03-9U4C,38,22.7614812090729,978.472289773544
04-9U66,38,19.4291742244176,984.946115989847
05-9U8B,38,23.9456740217585,976.445726390571
06-9UA7,38,22.9647596294056,994.184929984331
07-9UAD,38,22.1156549036773,981.992269002091
08-9UB2,38,21.0938779712601,973.334916124692
09-9UDP,19,19.8395798115623,990.826529707687
10-9UHM,38,25.8238461382378,983.502720876771
11-9UIZ,38,20.6491937928819,980.986861947264
12-9UN3,38,21.6788707728881,988.828057927024
13-9UOF,38,25.5399463032234,982.468408114491
14-9UP0,23,23.9726213457795,993.772239642541
15-9UR2,38,20.0320915222794,982.085309295987
16-9USC,38,22.5334342345061,988.593909812624
17-9UTL,38,22.5502679887225,993.45835689007
18-9UVM,38,23.3064526339944,982.858197798205
19-9UY7,38,20.1875505284635,995.449723480971
20-9V52,38,23.9100401100101,975.16846167745
21-9V5J,38,20.4839700060057,974.596707943046
22-9V5N,38,20.8766302579092,974.821105977104
23-9VIV,38,22.7064750285621,976.286169643996
24-9VL3,38,23.4543493579209,972.181071573324
25-9VNK,38,20.5664317395856,973.4841285536
26-9VTJ,38,24.1500231278003,977.490432619759
27-9VUW,38,21.6605534236113,989.229069122579
28-9VXK,38,22.9888881542851,984.39309142616
29-9VXR,38,19.9386742685056,981.948960974607
30-9VYD,38,23.6103906629781,990.378312597652
31-9VZJ,38,21.2210485733052,972.92777528795
32-9VZN,38,21.7983505190596,976.759108286162
33-9VZR,38,20.6768874156939,983.411273497794
34-9W1R,24,18.131215188229,982.071621968311
36-9W4C,38,22.3066797080813,985.873623720915
37-9W4X,38,22.6426346322862,982.378674132149
38-9W6A,38,22.098535922894,983.055330819937
39-9W6G,38,21.1742602729772,981.958027695694
40-9W74,38,21.9832267755832,983.148809257388
41-9W7K,38,24.0370683424861,983.706867782744
42-9W7R,38,23.8159806559797,973.519117783633
43-9W91,38,22.4264846401437,979.401856612978
44-9WAY,38,22.948034345977,994.044135810371
45-9WBS,38,20.2046163198448,968.781695988837
46-9WCE,38,19.5559014596146,992.862310261202
47-9WCU,38,19.2418613841159,982.761174361509
48-9WDR,38,22.4597947362343,977.830406644263
49-9WEW,38,23.7892382246475,980.826183186265
