participantID,nSeq,preValue,walkValue
01-9TZK,38,23.9093188004187,172.090769394596
02-9TZO,38,22.4915461105036,217.7151481618
03-9U4C,38,22.7614812090729,224.146677004762
04-9U66,38,19.4291742244176,210.386087775453
05-9U8B,38,23.9456740217585,241.2539705679
06-9UA7,38,22.9647596294056,241.837910829184
07-9UAD,38,22.1156549036773,211.40312953249
08-9UB2,38,21.0938779712601,203.631917587104
09-9UDP,19,19.8395798115623,215.403025909465
10-9UHM,38,25.8238461382378,247.445168337907
11-9UIZ,38,20.6491937928819,274.224682864709
12-9UN3,38,21.6788707728881,199.87092749667
13-9UOF,38,25.5399463032234,182.946207197442
14-9UP0,23,23.9726213457795,241.119842322759
15-9UR2,38,20.0320915222794,237.790230065932
16-9USC,38,22.5334342345061,236.768626580143
17-9UTL,38,22.5502679887225,232.953963483352
18-9UVM,38,23.3064526339944,210.282212623858
19-9UY7,38,20.1875505284635,292.147579687562
20-9V52,38,23.9100401100101,176.532909858097
21-9V5J,38,20.4839700060057,216.416776647594
22-9V5N,38,20.8766302579092,265.511322472728
23-9VIV,38,22.7064750285621,225.243492244807
24-9VL3,38,23.4543493579209,221.84971692773
25-9VNK,38,20.5664317395856,181.91679062718
26-9VTJ,38,24.1500231278003,221.653508271572
27-9VUW,38,21.6605534236113,255.60735559526
28-9VXK,38,22.9888881542851,158.863040004068
29-9VXR,38,19.9386742685056,276.936303448549
30-9VYD,38,23.6103906629781,278.190699778753
31-9VZJ,38,21.2210485733052,184.031615913513
32-9VZN,38,21.7983505190596,191.548084202751
33-9VZR,38,20.6768874156939,211.916014431399
34-9W1R,24,18.131215188229,277.654775835715
36-9W4C,38,22.3066797080813,210.874468702098
37-9W4X,38,22.6426346322862,211.053168248099
38-9W6A,38,22.098535922894,241.645986361597
39-9W6G,38,21.1742602729772,236.12568831058
40-9W74,38,21.9832267755832,196.616230656104
41-9W7K,38,24.0370683424861,218.531245358609
42-9W7R,38,23.8159806559797,237.42506003619
43-9W91,38,22.4264846401437,257.599662756151
44-9WAY,38,22.948034345977,302.383674124721
45-9WBS,38,20.2046163198448,214.453577098561
46-9WCE,38,19.5559014596146,223.931513792847
47-9WCU,38,19.2418613841159,265.914503815287
48-9WDR,38,22.4597947362343,204.133411773313
49-9WEW,38,23.7892382246475,171.082597230931
